RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
537,-1,01557,John Inman,1087947
538,-1,01412,Gibby Gilbert,1056506
539,-1,01884,Mac O'Grady,1050779
540,-1,02015,Chi Chi Rodriguez,1037106
541,8,51696,Rico Hoey,1008542
542,-2,01867,Bobby Nichols,993025
543,-2,01571,Barry Jaeckel,982408
544,-2,01030,Isao Aoki,960571
545,-1,47079,Harrison Endycott,953112
546,-1,20580,Andre Stolz,942647
547,-1,01790,Pat McGowan,915577
548,-1,01269,Bruce Devlin,907069
549,-1,07569,Mark Carnevale,906925
550,0,02120,Ed Sneed,860268
551,0,35901,Paul Haley II,837353
552,0,37212,Paul Barjon,829456
553,0,02041,Bill Sander,823428
554,0,02160,Ron Streck,817211
555,0,50484,Hayden Springer,807877
556,1,57364,Michael Thorbjornsen,805960
557,-1,01597,Grier Jones,803189
558,0,01502,Jerry Heard,780746
559,0,02224,Greg Twiggs,767294
560,25,54576,Patrick Fishburn,758411
561,-1,01214,Frank Conner,750733
562,-1,01897,Peter Oosterhuis,736692
563,-1,01556,Joe Inman,729249
564,-1,01782,Mike McCullough,682511
565,-1,01242,Rod Curl,677009
566,-1,02230,Stan Utley,674546
567,-1,01099,Homero Blancas,671251
568,-1,01779,Gary McCord,662359
569,-1,01994,Victor Regalado,628557
570,-1,51600,Jimmy Stanger,628546
571,2,32367,Jorge Campillo,623371
572,-2,01192,T.C. Chen,616303
573,-2,01984,Sam Randolph,574876
574,-2,01949,Mark Pfeil,573387
575,-1,01268,Jim Dent,564809
576,-1,60004,Jacob Bridgeman,561114
577,-1,49303,Anders Albertson,556905
578,-1,34310,Alexander Björk,547720
579,-1,02064,John Schroeder,546569
580,-1,01877,Tim Norris,545531
581,-1,01753,Rik Massengale,536254
582,-1,01206,Bobby Cole,535130
583,-1,01838,Mike Morley,526403
584,-1,01135,Ken Brown,507919
585,-1,01861,Jim Nelford,485111
586,0,01578,Tom Jenkins,470019
587,6,33674,Adrian Meronk,460698
588,-1,01714,Bob Lunn,459182
589,-1,52514,Trace Crowe,448709
590,-1,01871,Mike Nicolette,448037
591,-1,02083,Tom Shaw,434756
592,-1,01814,Allen Miller,426883
593,-1,01477,Phillip Hancock,425154
594,0,01524,Larry Hinson,413284
595,0,01036,Wally Armstrong,406269
596,0,01746,Fred Marti,404674
597,0,01275,Terry Diehl,404611
598,0,59442,Parker Coody,401279
599,0,01078,Jim Benepe,395214
600,0,01363,John Fought,387036
601,0,01964,Greg Powers,386086
602,0,02105,Bob Smith,385283
603,0,01962,Johnny Pott,371396
604,0,01076,Deane Beman,370003
605,0,60067,Joe Highsmith,362828
606,0,02093,R.H. Sikes,344387
607,0,06306,Tony Jacklin,336530
608,0,50497,Adrien Dumont de Chassart,334616
609,0,01821,Jeff Mitchell,322320
610,0,01692,Pat Lindsey,318777
611,0,46113,Ryan McCormick,311325
612,0,01095,Woody Blackburn,310231
613,0,51491,Brandon Matthews,303300
614,0,01274,Bob Dickson,296640
615,0,01486,Labron Harris,295917
616,0,48319,Tom Whitney,263742
617,0,01277,Terry Dill,255050
618,0,02244,Fred Wadsworth,235449
619,0,47663,Kevin Dougherty,205271
620,0,01525,Babe Hiskey,202754
621,0,54328,Norman Xiong,200251
622,0,01865,Dwight Nevil,199935
623,0,01562,Don Iverson,198477
624,0,06583,Roy Pace,165699
625,0,01352,Marty Fleckman,162141
626,0,01155,Bob Byman,161884
627,0,01350,Pat Fitzsimons,153542
628,0,01450,Gary Groh,148753
629,0,02130,Steve Spray,142045
630,0,01421,Randy Glover,123531
631,0,01997,Steve Reid,110441
632,0,02208,Bob Toski,105484
633,0,56149,Wilson Furr,97961
634,0,01007,Sam Adams,82787
635,0,01611,Richie Karl,61566
636,0,54813,Philip Knowles,53421
637,0,47806,Raul Pereda,48157
638,0,60767,Blaine Hale Jr.,48088
639,0,01474,Laurie Hammer,25992
640,0,01590,Al Johnston,24099
641,0,32982,Vince Covello,19035
